2025-07-01 11:29:04,381 - Rank 1 - daniel - Generando terreno: 15x80 celdas
2025-07-01 11:29:04,398 - Rank 1 - daniel - Terreno generado exitosamente
2025-07-01 11:29:04,399 - Rank 1 - daniel - Inicializados 3 focos de incendio
2025-07-01 11:33:55,292 - Rank 1 - daniel - Paso 0: 2 nuevos fuegos, 1 extinguidos
2025-07-01 11:33:58,216 - Rank 1 - daniel - Paso 0: 3 nuevos fuegos, 3 extinguidos
2025-07-01 11:34:00,900 - Rank 1 - daniel - Paso 0: 2 nuevos fuegos, 0 extinguidos
2025-07-01 11:34:03,949 - Rank 1 - daniel - Paso 0: 2 nuevos fuegos, 3 extinguidos
2025-07-01 11:34:07,042 - Rank 1 - daniel - Paso 0: 0 nuevos fuegos, 2 extinguidos
2025-07-01 11:34:10,624 - Rank 1 - daniel - Paso 0: 1 nuevos fuegos, 0 extinguidos
2025-07-01 11:34:13,832 - Rank 1 - daniel - Paso 0: 0 nuevos fuegos, 1 extinguidos
2025-07-01 11:34:20,003 - Rank 1 - daniel - Paso 0: 0 nuevos fuegos, 1 extinguidos
2025-07-01 11:34:27,391 - Rank 1 - daniel - Paso 0: 3 nuevos fuegos, 1 extinguidos
2025-07-01 11:34:33,383 - Rank 1 - daniel - Paso 0: 3 nuevos fuegos, 1 extinguidos
2025-07-01 11:34:39,304 - Rank 1 - daniel - Paso 0: 2 nuevos fuegos, 1 extinguidos
2025-07-01 11:34:45,302 - Rank 1 - daniel - Paso 0: 6 nuevos fuegos, 2 extinguidos
2025-07-01 11:34:52,524 - Rank 1 - daniel - Paso 0: 2 nuevos fuegos, 1 extinguidos
2025-07-01 11:34:58,401 - Rank 1 - daniel - Paso 0: 5 nuevos fuegos, 3 extinguidos
2025-07-01 11:35:04,428 - Rank 1 - daniel - Paso 0: 2 nuevos fuegos, 2 extinguidos
2025-07-01 11:35:10,673 - Rank 1 - daniel - Paso 0: 5 nuevos fuegos, 4 extinguidos
2025-07-01 11:35:16,794 - Rank 1 - daniel - Paso 0: 3 nuevos fuegos, 2 extinguidos
2025-07-01 11:35:22,987 - Rank 1 - daniel - Paso 0: 2 nuevos fuegos, 1 extinguidos
2025-07-01 11:35:29,297 - Rank 1 - daniel - Paso 0: 2 nuevos fuegos, 5 extinguidos
2025-07-01 11:35:35,255 - Rank 1 - daniel - Paso 0: 2 nuevos fuegos, 1 extinguidos
2025-07-01 11:35:41,358 - Rank 1 - daniel - Paso 0: 2 nuevos fuegos, 3 extinguidos
2025-07-01 11:35:47,291 - Rank 1 - daniel - Paso 0: 4 nuevos fuegos, 1 extinguidos
2025-07-01 11:35:53,223 - Rank 1 - daniel - Paso 0: 3 nuevos fuegos, 2 extinguidos
2025-07-01 11:35:59,323 - Rank 1 - daniel - Paso 0: 1 nuevos fuegos, 2 extinguidos
2025-07-01 11:36:05,393 - Rank 1 - daniel - Paso 0: 2 nuevos fuegos, 3 extinguidos
2025-07-01 11:36:11,236 - Rank 1 - daniel - Paso 0: 2 nuevos fuegos, 4 extinguidos
2025-07-01 11:36:16,962 - Rank 1 - daniel - Paso 0: 0 nuevos fuegos, 3 extinguidos
2025-07-01 11:36:23,360 - Rank 1 - daniel - Paso 0: 0 nuevos fuegos, 3 extinguidos
2025-07-01 11:36:29,358 - Rank 1 - daniel - Paso 0: 1 nuevos fuegos, 2 extinguidos
2025-07-01 11:36:35,437 - Rank 1 - daniel - Paso 0: 1 nuevos fuegos, 1 extinguidos
2025-07-01 11:36:41,595 - Rank 1 - daniel - Paso 0: 1 nuevos fuegos, 1 extinguidos
2025-07-01 11:36:47,412 - Rank 1 - daniel - Paso 0: 1 nuevos fuegos, 3 extinguidos
2025-07-01 11:36:53,308 - Rank 1 - daniel - Paso 0: 1 nuevos fuegos, 0 extinguidos
2025-07-01 11:36:59,277 - Rank 1 - daniel - Paso 0: 0 nuevos fuegos, 5 extinguidos
2025-07-01 11:37:05,308 - Rank 1 - daniel - Paso 0: 0 nuevos fuegos, 1 extinguidos
2025-07-01 11:37:11,415 - Rank 1 - daniel - Paso 0: 1 nuevos fuegos, 1 extinguidos
2025-07-01 11:37:17,218 - Rank 1 - daniel - Paso 0: 1 nuevos fuegos, 1 extinguidos
2025-07-01 11:37:23,092 - Rank 1 - daniel - Paso 0: 2 nuevos fuegos, 0 extinguidos
2025-07-01 11:37:28,937 - Rank 1 - daniel - Paso 0: 1 nuevos fuegos, 1 extinguidos
2025-07-01 11:37:34,873 - Rank 1 - daniel - Paso 0: 1 nuevos fuegos, 2 extinguidos
2025-07-01 11:37:41,044 - Rank 1 - daniel - Paso 0: 0 nuevos fuegos, 1 extinguidos
2025-07-01 11:37:47,275 - Rank 1 - daniel - Paso 0: 0 nuevos fuegos, 1 extinguidos
2025-07-01 11:38:28,979 - Rank 1 - daniel - Paso 0: 0 nuevos fuegos, 1 extinguidos
2025-07-01 11:38:40,845 - Rank 1 - daniel - Paso 0: 0 nuevos fuegos, 2 extinguidos
2025-07-01 11:38:52,771 - Rank 1 - daniel - Paso 0: 0 nuevos fuegos, 1 extinguidos
2025-07-01 11:38:58,582 - Rank 1 - daniel - Paso 0: 0 nuevos fuegos, 1 extinguidos
2025-07-01 11:39:10,824 - Rank 1 - daniel - Paso 0: 0 nuevos fuegos, 2 extinguidos
2025-07-01 11:39:59,892 - Rank 1 - daniel - Paso 0: 0 nuevos fuegos, 1 extinguidos
2025-07-01 11:40:25,039 - Rank 1 - daniel - Paso 0: 0 nuevos fuegos, 1 extinguidos
2025-07-01 11:40:31,138 - Rank 1 - daniel - Paso 0: 0 nuevos fuegos, 1 extinguidos
2025-07-01 11:40:49,576 - Rank 1 - daniel - Paso 0: 0 nuevos fuegos, 1 extinguidos
